un ordi|veut dire ordinateur
cultiver|Travailler la terre.
danser|Bouger en rythme.
débattre|Discuter en argumentant.
décider|Prendre une décision.
décrire|Représenter par des mots.
défendre|Protéger ou interdire.
déguster|Apprécier un mets.
déléguer|Confier une tâche.
démarrer|Mettre en route.
dénoncer|Révéler une situation.
désigner|Montrer ou nommer.
détester|Haïr, ne pas aimer.
développer|Faire progresser.
diminuer|Réduire en quantité.
diriger|Mener, conduire.
discuter|Échanger des idées.
disparaître|Cesser d'être visible.
distinguer|Percevoir une différence.
distribuer|Donner à plusieurs personnes.
diviser|Séparer en parties.
douter|Ne pas être sûr.
échouer|Ne pas réussir.
éduquer|Instruire, former.
effectuer|Réaliser, accomplir.
éliminer|Supprimer.
embrasser|Faire un baiser.
emmener|Conduire quelqu'un quelque part.
émouvoir|Toucher la sensibilité.
empêcher|Bloquer, interdire.
employer|Utiliser ou embaucher.
encourager|Donner du courage.
enfouir|Mettre sous terre.
enlever|Retirer, ôter.
enseigner|Transmettre des connaissances.
envahir|Occuper un espace.
envoyer|Faire parvenir.
éprouver|Ressentir une émotion.
essayer|Tenter de faire.
établir|Mettre en place, créer.
étonner|Surprendre.
éviter|Contourner, ne pas faire.
examiner|Observer attentivement.
excuser|Pardonner.
exiger|Demander de manière stricte.
expliquer|Rendre compréhensible.
explorer|Parcourir pour découvrir.
exposer|Présenter, montrer.
exprimer|Faire connaître.
fabriquer|Produire, construire.
fâcher|Mettre en colère.
fonder|Créer, établir.
fournir|Approvisionner.
freiner|Ralentir.
fuir|S'échapper.
gager|Parier.
garder|Conserver.
garer|Stationner un véhicule.
gémir|Se plaindre.
glisser|Coulisser, se déplacer en glissant.
gouverner|Diriger un pays.
grandir|Devenir plus grand.
gratter|Frotter pour enlever.
guérir|Soigner, rétablir.
habiter|Vivre dans un lieu.
harasser|Fatiguer énormément.
hésiter|Être indécis.
ignorer|Ne pas connaître ou ne pas tenir compte.
illuminer|Éclairer vivement.
imiter|Copier, reproduire.
immigrer|Venir s'installer dans un pays étranger.
impliquer|Engager, concerner.
imposer|Mettre en place.
impressionner|Frapper par l'importance.
inciter|Pousser à agir.
inclure|Intégrer, comprendre.
indiquer|Montrer, signaler.
influencer|Avoir un effet sur.
informer|Donner une information.
innover|Apporter du nouveau.
inspirer|Remplir d'inspiration.
installer|Mettre en place.
instruire|Former, enseigner.
interdire|Ne pas autoriser.
interroger|Poser des questions.
intervenir|S'impliquer, agir.
intimider|Faire peur.
introduire|Faire entrer.
inventer|Créer de toutes pièces.
investir|Engager des fonds.
inviter|Demander à venir.
isoler|Séparer du reste.
jouer|S'amuser, pratiquer un sport.
jurer|Promettre solennellement.
justifier|Donner une raison valable.
laver|Nettoyer avec de l'eau.
lécher|Passer la langue.
livrer|Apporter, distribuer.
louer|Faire l'éloge ou prendre en location.
lutter|Combattre.
maîtriser|Contrôler parfaitement.
manipuler|Utiliser avec adresse ou influencer.
maturer|Arriver à maturité.
mélanger|Mixer, combiner.
mener|Conduire, diriger.
mesurer|Déterminer la dimension.
mettre|Poser, placer.
meubler|Garnir de meubles.
migrer|Se déplacer de région.
modifier|Changer.
monter|Grimper.
mourir|Cesser de vivre.
mouvoir|Bouger, déplacer.
nager|Se déplacer dans l'eau.
négocier|Discuter pour obtenir un accord.
nettoyer|Rendre propre.
nourrir|Donner à manger.
obéir|Suivre les ordres.
obtenir|Acquérir.
occuper|Remplir un espace ou un temps.
offrir|Donner en cadeau.
oublier|Ne plus se souvenir.
ouvrir|Entrouvrir, défaire.
parvenir|Arriver à faire.
payer|Verser une somme.
pêcher|Capturer des poissons.
peindre|Recouvrir de peinture.
percer|Faire un trou.
permettre|Autoriser.
persuader|Convaincre.
peser|Déterminer le poids.
piller|Voler en masse.
placer|Mettre à un endroit.
planter|Mettre en terre.
plier|Courber, ployer.
porter|Transporter.
poser|Déposer, installer.
posséder|Avoir, être propriétaire.
préparer|Organiser, apprêter.
présenter|Montrer, introduire.
préserver|Protéger.
presser|Comprimer, appuyer.
prétendre|Affirmer.
prévenir|Informer à l'avance.
prier|Implorer, demander.
produire|Fabriquer.
progresser|Avancer, évoluer.
promener|Faire marcher.
promettre|S'engager à faire.
proposer|Suggérer, offrir.
prose|Écriture ordinaire.
protéger|Défendre.
prouver|Démontrer.
publier|Rendre public.
qualifier|Attribuer une qualité.
quitter|Laisser, partir.
raconter|Dire, narrer.
raser|Couper ras.
réaliser|Accomplir, matérialiser.
recueillir|Rassembler.
reculer|Aller en arrière.
réduire|Diminuer.
abandonner|Cesser de faire quelque chose, renoncer.
aborder|Commencer à parler d'un sujet.
absence|Fait de ne pas être présent.
absurde|Qui n'a pas de sens, illogique.
abuser|Profiter de manière excessive.
accéder|Avoir accès à quelque chose.
accident|Événement imprévu et souvent fâcheux.
accord|Consentement, entente entre personnes.
accueillir|Recevoir quelqu'un chez soi.
accuser|Dire que quelqu'un est coupable.
achever|Finir, terminer complètement.
acquérir|Devenir propriétaire, obtenir.
adapter|Ajuster à une situation.
addition|Opération qui consiste à ajouter des nombres.
admettre|Reconnaître, accepter.
adopter|Prendre quelque chose comme sien.
adorer|Aimer énormément.
aérer|Faire circuler l'air, ventiler.
affaire|Ce qui concerne une personne, un événement.
affiche|Panneau publicitaire.
agiter|Remuer, secouer.
améliorer|Rendre meilleur.
amener|Conduire quelqu'un quelque part.
analyse|Étude détaillée d'un sujet.
animer|Donner de la vie, dynamiser.
anticiper|Prévoir avant que cela arrive.
apparaître|Devenir visible.
appétit|Envie de manger.
appliquer|Mettre en pratique, poser sur quelque chose.
apprécier|Avoir une opinion favorable.
approcher|S'approcher de quelque chose.
argenterie|Objets en argent.
arracher|Enlever avec force.
arranger|Mettre en ordre, réparer.
artisan|Personne qui exerce un métier manuel.
aucun|Pas un seul.
augmenter|Devenir plus grand.
aujourd'hui|Le jour présent.
auparavant|Avant, dans le passé.
aussitôt|Immédiatement, tout de suite.
autant|Une quantité égale.
auteur|Personne qui écrit une œuvre.
autre|Différent, un second.
avantage|Ce qui est favorable.
aviateur|Personne qui pilote un avion.
avis|Opinion, point de vue.
baigner|Tremper dans l'eau.
baisser|Descendre, diminuer.
balayer|Nettoyer avec un balai.
balle|Petite boule utilisée dans les jeux.
banlieue|Zone périphérique d'une ville.
battre|Frapper, gagner contre quelqu'un.
beaucoup|En grande quantité.
belge|Personne de Belgique.
bénéfice|Gain, avantage.
bête|Animal, ou personne peu intelligente.
bien|Ce qui est bon, agréable.
blesser|Faire du mal physiquement ou moralement.
bondir|Sauter brusquement.
bouche|Ouverture par laquelle on mange et parle.
bouger|Se déplacer, remuer.
bourdonner|Faire un bruit de bourdon.
bout|Extrémité d'un objet.
branche|Partie d'un arbre.
bras|Membre supérieur.
briller|Émettre de la lumière.
broder|Coudre des motifs.
brûler|Consumer par le feu.
brutal|Qui est violent, brusque.
budgéter|Prévoir des dépenses.
cadre|Encadrement, environnement.
calculer|Faire une opération mathématique.
calme|Qui est tranquille.
camper|Vivre sous une tente.
canal|Cours d'eau artificiel.
cancer|Maladie grave.
candidat|Personne qui se présente à une élection.
capable|Qui a la capacité de faire.
caprice|Désir soudain et irraisonné.
caractère|Ensemble des traits de personnalité.
casser|Briser en morceaux.
céder|Laisser, donner.
célébrer|Fêter un événement.
célèbre|Très connu.
cendres|Restes d'un feu.
certain|Qui est sûr, indubitable.
certificat|Document officiel.
chacun|Chaque personne.
chaise|Siège à une personne.
chance|Hasard favorable.
chaque|Tous les éléments d'un ensemble.
chercher|Essayer de trouver.
cheval|Grand animal à quatre pattes.
cheveux|Poils de la tête.
chiffre|Symbole numérique.
chimie|Science des substances.
chose|Objet, élément.
classe|Groupe d'élèves, catégorie.
clavier|Ensemble de touches.
climat|Ensemble des conditions météorologiques.
collège|Établissement scolaire.
comité|Groupe de personnes chargées d'une tâche.
comparer|Mettre en parallèle.
compétence|Savoir-faire.
complet|Qui est entier, total.
composer|Créer, assembler.
comprendre|Saisir le sens.
comptable|Personne qui tient les comptes.
concentration|Action de concentrer son attention.
concept|Idée abstraite.
condition|Situation, exigence.
confiance|Assurance, croyance en quelqu'un.
conflit|Désaccord, opposition.
conscience|Connaissance de soi et des actes.
conséquence|Résultat d'une action.
conserver|Garder, préserver.
considérer|Réfléchir, estimer.
consulter|Demander un avis.
contenir|Avoir en soi.
contestation|Action de contester.
contraire|Opposé.
contribution|Part apportée à un effort commun.
contrôle|Vérification, maîtrise.
convenable|Adapté, correct.
conversation|Discussion.
conviction|Certitude profonde.
coopérer|Agir ensemble.
coordonner|Organiser, harmoniser.
corriger|Rectifier une erreur.
corruption|Malversation, acte illicite.
côte|Bord, rivage.
coucher|Se mettre au lit.
coude|Articulation du bras.
coup|Choc, frappe.
couper|Diviser avec un outil.
courant|Qui est habituel, en circulation.
courbe|Ligne incurvée.
cours|Leçon, enseignement.
coussin|Objet pour s'asseoir ou se reposer.
couteau|Instrument pour couper.
crayon|Instrument pour écrire.
création|Action de créer.
crédit|Confiance accordée, somme prêtée.
croissance|Augmentation, développement.
cru|Qui n'est pas cuit.
cuir|Matière animale.
culte|Pratique religieuse.
curiosité|Envie de savoir.
cycle|Série répétitive d'événements.
danger|Situation risquée.
décennie|Période de dix ans.
déclarer|Annoncer officiellement.
décoration|Art d'embellir.
découverte|Fait de trouver quelque chose.
dédier|Consacrer à quelqu'un ou quelque chose.
athlète|Personne qui pratique un sport de compétition.|0
terrain|Surface délimitée pour jouer un sport.|0
sifflet|Instrument utilisé par l'arbitre pour signaler une faute.|0
adversaire|Personne contre qui on joue.|0
pression|Tension ressentie en compétition.|0
trophée|Récompense donnée au gagnant.|0
performance|Résultat obtenu lors d'une épreuve.|0
résultat|Score final d'un match.|0
public|Spectateurs qui regardent un match.|0
cage|But au football ou au hockey.|0
gardien|Joueur qui protège le but.|0
défense|Action de protéger son camp.|0
attaque|Action d'aller vers le but adverse.|0
passe|Transmission du ballon à un coéquipier.|0
tir|Envoi du ballon vers le but.|0
dribbler|Passer devant un adversaire avec le ballon.|0
marquer|Inscrire un point.|0
échanger|S'envoyer le ballon.|0
sprint|Course sur courte distance à pleine vitesse.|0
endurance|Capacité à soutenir un effort long.|0
souplesse|Capacité à plier son corps facilement.|0
agilité|Capacité à se déplacer rapidement et avec précision.|0
coordination|Action de coordonner ses mouvements.|0
équilibre|Stabilité du corps.|0
récupération|Période de repos après l'effort.|0
hydratation|Action de boire pour rester en forme.|0
énergie|Force physique pour agir.|0
muscle|Tissu qui permet les mouvements.|0
articulation|Zone de jonction entre deux os.|0
blessure|Lésion physique survenue pendant le sport.|0
entorse|Blessure d'une articulation.|0
fracture|Cassure d'un os.|0
crampe|Contraction douloureuse d'un muscle.|0
courbature|Douleur musculaire après l'effort.|0
échauffement|Préparation physique avant le sport.|0
étirement|Action d'allonger les muscles.|0
série|Ensemble de répétitions d'un exercice.|0
poids|Charge utilisée pour la musculation.|0
haltère|Poids tenu à la main.|0
barre|Longue tige utilisée en musculation.|0
sportif|Personne qui pratique un sport.|0
amateur|Personne qui pratique un sport sans en faire son métier.|0
professionnel|Sportif qui vit de son sport.|0
club|Association sportive.|0
champion|Vainqueur d'une compétition.|0
médaille|Récompense métallique pour un podium.|0
podium|Estrade où montent les gagnants.|0
hymne|Chanson jouée pour honorer un pays.|0
drapeau|Symbole d'un pays brandi lors des compétitions.|0
faim|Besoin de se nourrir.|1
soif|Besoin de boire.|1
aliment|Ce que l'on mange.|1
calorie|Unité d'énergie fournie par la nourriture.|1
protéine|Nutriment essentiel pour les muscles.|1
glucide|Sucre fournissant de l'énergie.|1
lipide|Matière grasse.|1
fibre|Substance végétale qui facilite la digestion.|1
goût|Sensation perçue par le palais.|1
salé|Qui a un goût de sel.|1
amer|Goût désagréable et fort.|1
acide|Goût aigre.|1
croquant|Qui fait un bruit sec en bouche.|1
fondant|Qui fond en bouche.|1
assaisonner|Relever un plat avec des épices.|1
mariner|Faire tremper un aliment dans une sauce.|1
griller|Cuire à la poêle ou sur le barbecue.|1
rôtir|Cuire au four.|1
bouillir|Porter un liquide à ébullition.|1
cuire|Transformer un aliment par la chaleur.|1
frire|Cuire dans l'huile chaude.|1
éplucher|Enlever la peau d'un fruit ou d'un légume.|1
hacher|Couper très finement.|1
moudre|Réduire en poudre.|1
gobelet|Récipient pour boire.|1
assiette|Plat pour servir la nourriture.|1
bol|Récipient rond et creux.|1
couvercle|Partie qui ferme un récipient.|1
cuisinier|Personne qui prépare les repas.|1
cantine|Salle à manger collective.|1
buffet|Présentation de plats à disposition.|1
menu|Liste des plats proposés.|1
entrée|Premier plat du repas.|1
plat principal|Plat central du repas.|1
dessert|Plat sucré en fin de repas.|1
yaourt|Lait fermenté.|1
beurre|Matière grasse issue du lait.|1
crème|Produit laitier épais.|1
oeuf|Aliment issu de la poule.|1
farine|Poudre obtenue à partir de céréales.|1
levure|Agent qui fait gonfler la pâte.|1
miel|Substance sucrée produite par les abeilles.|1
destination|Lieu où l'on se rend.|2
séjour|Période passée dans un lieu.|2
départ|Action de quitter un lieu.|2
arrivée|Action d'arriver à destination.|2
retour|Action de revenir.|2
vol|Trajet en avion.|2
moto|Véhicule à deux roues.|2
vélo|Engin à pédales.|2
ticket|Document pour prendre un transport.|2
réservation|Action de réserver à l'avance.|2
annulation|Action d'annuler.|2
retard|Arrivée en avance ou en retard.|2
correspondance|Changement de transport.|2
escale|Arrêt pendant un voyage.|2
tour du monde|Voyage qui fait le tour de la Terre.|2
visite|Action de découvrir un lieu.|2
guide|Personne qui fait visiter.|2
boussole|Instrument pour trouver le nord.|2
gps|Système de navigation.|2
itinéraire|Chemin à suivre.|2
trajet|Parcours effectué.|2
voyageur|Personne en voyage.|2
explorateur|Personne qui découvre de nouveaux lieux.|2
expatrié|Personne vivant à l'étranger.|2
frontière|Limite entre deux pays.|2
douane|Service de contrôle à la frontière.|2
visa|Document pour entrer dans un pays.|2
devise|Monnaie utilisée à l'étranger.|2
souvenir|Objet ramené d'un voyage.|2
photo|Image capturée en voyage.|2
dépaysement|Sentiment d'être ailleurs.|2
culture|Ensemble des traditions d'un pays.|2
langue|Moyen de communication.|2
coutume|Habitude d'un pays.|2
hébergement|Lieu où l'on dort.|2
auberge|Petit hôtel.|2
camping|Lieu de vacances en plein air.|2
tente|Abri de camping.|2
randonnée|Promenade en nature.|2
excursion|Sortie d'une journée.|2
safari|Observation des animaux sauvages.|2
note|Son musical.|3
symphonie|Oeuvre musicale pour orchestre.|3
concerto|Oeuvre pour soliste et orchestre.|3
sonate|Oeuvre pour instrument seul.|3
opéra|Oeuvre chantée et mise en scène.|3
ballade|Chanson douce et mélancolique.|3
tango|Danse et musique argentine.|3
salsa|Musique et danse cubaine.|3
rock|Genre musical rythmé.|3
pop|Musique populaire entraînante.|3
reggae|Musique jamaïcaine.|3
hip-hop|Culture urbaine incluant le rap.|3
rap|Style musical avec des paroles scandées.|3
blues|Musique mélancolique.|3
jazz|Musique improvisée.|3
classique|Musique traditionnelle.|3
contemporain|Musique moderne.|3
compositeur|Personne qui écrit de la musique.|3
interprète|Personne qui joue une oeuvre.|3
orchestre|Groupe de musiciens.|3
choeur|Groupe de chanteurs.|3
solo|Passage joué seul.|3
duo|Deux musiciens.|3
trio|Trois musiciens.|3
quatuor|Quatre musiciens.|3
quintette|Cinq musiciens.|3
partition|Texte musical écrit.|3
portée|Ensemble de lignes pour écrire la musique.|3
clef|Signe qui indique la hauteur des notes.|3
tempo|Vitesse de la musique.|3
gamme|Suite de notes.|3
harmonie|Combinaison agréable de sons.|3
intensité|Volume sonore.|3
timbre|Qualité d'un son.|3
résonance|Prolongement du son.|3
écho|Répétition d'un son.|3
acoustique|Qualité du son dans un lieu.|3
studio|Lieu d'enregistrement.|3
mixage|Action de mélanger les sons.|3
mastering|Finalisation d'un enregistrement.|3
titre|Nom d'une chanson.|3
album|Ensemble de chansons.|3
single|Chanson publiée seule.|3
clip|Vidéo accompagnant une chanson.|3
tournée|Série de concerts.|3
littérature|Ensemble des oeuvres écrites.|4
poème|Texte en vers.|4
fable|Court récit avec une morale.|4
conte|Récit merveilleux.|4
roman|Long récit imaginaire.|4
nouvelle|Récit court.|4
tragédie|Pièce de théâtre dramatique.|4
comédie|Pièce de théâtre joyeuse.|4
drame|Pièce de théâtre sérieuse.|4
mise en scène|Direction d'une pièce.|4
acteur|Personne qui joue un rôle.|4
comédien|Acteur de théâtre.|4
spectateur|Personne qui regarde.|4
art|Expression créative.|4
peintre|Personne qui peint.|4
sculpteur|Personne qui sculpte.|4
architecte|Personne qui conçoit des bâtiments.|4
galerie|Lieu d'exposition d'art.|4
exposition|Présentation d'oeuvres.|4
tradition|Coutume transmise.|4
folklore|Ensemble des traditions populaires.|4
croyance|Ce en quoi on croit.|4
rite|Cérémonie religieuse ou traditionnelle.|4
carnaval|Fête déguisée.|4
procession|Défilé religieux.|4
pèlerinage|Voyage religieux.|4
mythologie|Ensemble des mythes.|4
légende|Récit traditionnel merveilleux.|4
épopée|Long récit héroïque.|4
philosophie|Réflexion sur la vie.|4
éthique|Science de la morale.|4
esthétique|Étude de la beauté.|4
humanisme|Courant de pensée centré sur l'humain.|4
renaissance|Période de renouveau artistique.|4
baroque|Style artistique exubérant.|4
classicisme|Style artistique sobre.|4
romantisme|Mouvement artistique émotionnel.|4
réalisme|Mouvement artistique qui montre la réalité.|4
impressionnisme|Mouvement artistique jouant avec la lumière.|4
surréalisme|Mouvement artistique onirique.|4
